,Channel,Subscribers,Subscribers for the last 30 days,% change,Video views for the last 30 days,% change
0,Vật Vờ Studio,2.28M,,,4.038M,-10.7%
1,Duy Thẩm,1.79M,40K,-33.3%,38.77M,-12.2%
2,Tony Phùng Studio,575K,3K,+0.0%,2.273M,-12.2%
3,Tân Một Cú,505K,,,219.655K,+72.9%
4,AnhEm TV,1.38M,20K,+0.0%,40.448M,+26.2%
5,Vinh Xô,257K,3K,-25%,3.296M,+16.6%
6,Tinh Tế,974K,3K,+0.0%,2.426M,-7.7%
7,Relab,766K,8K,+33.3%,10.35M,+14.1%
8,Khôi Ngọng,132K,2K,+100.0%,1.954M,+115.3%
9,Duy Luân Dễ Thương,218K,11K,-8.3%,3.986M,-10%
10,Công Nghệ Lõi,21.9K,,,3.668K,-15.1%
11,MobileCity,165K,17K,-43.8%,26.097M,-34.3%
12,Tuấn Ngọc đây!,232K,4K,+25.0%,5.393M,+70.4%
13,Lee Tùn Zân - Review Và Tặng Lại,72.5K,1.6K,+100.0%,1.272M,+180.1%
14,ĐAM MÊ CÔNG NGHỆ,478K,9K,+28.6%,10.442M,+47.5%
